,subject,replies,views,comment,date,user,activity,merit
0,BTC History from 2008 to 2016 Preview [FULL BOOK in September 2024!],2,44,"As promised, here is the PDF document showing chapters 2008/09 to 2016 (still have the summary pages to complete):https://drive.google.com/file/d/1M8z4M4oV4WC_aIGWkn-tO_T7Nkllj47C/view?usp=sharingPlease leave comments, feedback and suggestions for improvement in this thread.  The current thread for the book is:https://bitcointalk.org/index.php?topic=5475400.0I will strive to finish the chapters for 2017 to 30th June 2024 (nearly 50% complete) by this summer.  Please show generosity and donate to help me complete the Bitcoin History 2008-2024 book by 12th September 2024:$BTC bc1qktyzg2atx5paka2x64pxdwg54u7m2yn3cu2qxy$LTC ltc1qz8jqkhy264q3mdjkjzsve7er25qdnmmvxt96lr$ETH 0x125288bAf499e26259f8E2aC6FC5fE1491aBa9c2$DOGE DRj7PWEz5zxHc5ptkTBapKjCrxQU75CB6q$XRP r9LbXGJ9HCdwvAhKWJJLihSd8612xHybv7With sufficient help, I know the book will be completed by September 2024.  Thank you in advance for your support and feedback.","March 31, 2024, 11:05:29 PM",Tyke,1400,1143
1,BTC History from 2008 to 2016 Preview [FULL BOOK in September 2024!],2,44,[Reserved],Today at 12:25:47 AM,Tyke,1400,1143
2,BTC History from 2008 to 2016 Preview [FULL BOOK in September 2024!],2,44,Please say if you have begun to read some of the PDF document,Today at 12:36:52 PM,Tyke,1400,1143
3,Good or Bad - Blackrock Buying BTC,52,390,"So right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?","March 29, 2024, 09:44:52 PM",worldtraveller321,506,33
4,Good or Bad - Blackrock Buying BTC,52,390,"Even now that the price of bitcoin is still below $70,000, there are people who are still unable to afford a whole bitcoin, which is never a problem and shouldn't be a problem.  Even if Blackrock and other financial institutions want to buy more bitcoin, the thing will still remain the same. You can only reduce the amount you will buy if the price goes all up, just as those who didn't buy when the price was below $30,000 have cut down their budget.  One thing you need to know is that the bitcoin price will always move up above where it is right now, with or without this blackrock purchase. They are just helping the process speed up a little bit, but the bitcoin price is going to remain stagnant, so if you have money to buy, use the opportunity of seeing it at a low price to accumulate what you can.","March 29, 2024, 09:53:37 PM",Orpichukwu,434,299
5,Good or Bad - Blackrock Buying BTC,52,390,"If Black Rock saw the value that bitcoin has and decided to enter the game, of course this is very good... The more new money enters the market, the more bitcoin will increase in purchasing power.Black Rock's customers are generally people who would like to buy bitcoins but don't know how to do self-custody or are afraid to use the network, it will open many doors in the market, it will be good for everyone. The bad side is that governments will try to make people only buy ETFs and not bitcoin on chain","March 29, 2024, 10:12:54 PM",criptoevangelista,210,470
6,Good or Bad - Blackrock Buying BTC,52,390,"It could be all bad and about to get even worse.The most obvious negative thing about it is the fact that they are buying bitcoin cheap while individuals either ignore bitcoin and will continue ignoring it until it is worth a lot more (like a million bucks) or the individuals don't have enough money to purchase bitcoin now and they'll have to slowly accumulate over time as price keeps rising.But the less obvious problem could be what they're going to do after they amassed bitcoin... What if some day they started something along the lines of ""fractional banking"". Like starting to sell bitcoin IOUs to people and sell more than they have. For example if they actually owned 1 million bitcoin but sold 10 million IOUs. What would that do to bitcoin, its price and its future? That is the scary part...Today they're selling ETF IOUs to people that is supposedly 1:1 but who's to say it's going to remain this way...","March 30, 2024, 07:19:46 AM",pooya87,3402,10440
7,Good or Bad - Blackrock Buying BTC,52,390,"Blackrock don’t buy Bitcoin to hold for themselves. They run a spot etf product which enables their investors to get access to Bitcoin via their etf. It’s a good thing that Bitcoin is now officially a part of the US financial system. We wanted mainstream adoption for years, now we are on the way to having it. The price going up is a good thing, Bitcoin still works as intended though, 1 BTC = 1 BTC.","March 30, 2024, 07:48:17 AM",DeathAngel,3066,1592
8,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?Blackrock buying bitcoins is neither good nor bad, but this is reality. No matter how you feel about it, you can't influence the outcome or change it.You voiced the positive side - this is an increase in the price of bitcoin. The negative point is that too much bitcoins is concentrated in “one hand”, which is clearly not very good. It would be better if bitcoin was more distributed among smaller BTC-holders. If Blackrock (and other big holders) continue to accumulate bitcoin and not sell it, then this will further exacerbate the imbalance in the evenness of bitcoin distribution. Although the uniform distribution of bitcoin between holders looks like a utopia and is no longer possible to bring this to life. Due to the bitcoin concentration among big holders and the high cost of it, a cycle occurs, that is, the more expensive bitcoin, the less bitcoin small holders can afford and the more institutional investors buy bitcoin. It turns out to be a vicious circle in which big players become the dominant holders.","March 30, 2024, 08:03:10 AM",m2017,1764,1287
9,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMIs this a case of too much too soon? or do you think Blackrock a good thing? thoughts?After years passing by and people hoping for institutional investors, now they are here. It's a bit late to ask whether that's good or bad. It's .. a fact of life, both good and bad.It will bring more and more laws related to crypto - which is good (end of wild west of crypto, more protection) and also bad (blatant intrusion against privacy).It will increase heavily its scarcity and bring wealth to early investors.It should bring more money into development (which should also fuel inventions for the better).It should bring acceptance as payment method on a daily basis, but possibly also the wide spreading of IOUs instead of actual bitcoins.It will bring more strict taxation.But imho none of these are unexpected.","March 30, 2024, 08:26:49 AM",NeuroticFish,3626,6323
10,Good or Bad - Blackrock Buying BTC,52,390,"To me, it's neither good nor bad. Bitcoin is decentralized and available to anyone who can afford it and wants to buy it. As a part of a free market, big players can also invest if they feel like it. But, thankfully, at this point Bitcoin is so huge that I don't think there's a single company that can accumulate such a truly significant amount that would allow them to monopolize the market and can significant control over it.Big funds investing in Bitcoin can both boost its price and reputation. And there's still plenty of BTC left to buy and store in non-custodial wallets. Yes, when the price goes up, it means people can afford smaller amounts of BTC than before. But that's just natural.","March 30, 2024, 08:35:49 AM",kryptqnick,3052,1382
11,Good or Bad - Blackrock Buying BTC,52,390,"Quote from: worldtraveller321 on March 29, 2024, 09:44:52 PMSo right now it seems the corporations want all of BTC. With Blackrock buying lots and lots of BTC. I consider this a catch 22 and a mix of good and bad.What are your thoughts on this?Sure for anyone who hodls  BTC and Blackrock buying more, value goes up. so it works for people already holding BTC.Yet it makes it harder for others not in the market yet to buy more amounts , they will have to consider buying less now if on a budget.Is this a case of too much too soon? or do you think Blackrock a good thing? thoughts?Good for the fact that they are buying bitcoin since aside for they are accumulating their action can also cause some attention and create some hype for people following them and might do the same then demand will rise for short while.The bad thing there is when they decide to sell since we know how influential that institution and whenever there's something news about sell off there are lots of people getting panic also lots of article will be spread just to scare people then this will lead into those unwanted dumps that's why we need to be more aware about this so that we will not fall on something strange thing happening once theirs manipulation happened in the market.","March 30, 2024, 09:04:59 AM",Taskford,2492,780
